Idx,Ratio,Train,Val,Stuff,Name,
1,0.8,231,58,0,env,
2,0.2,231,58,0,road,
3,0,0,0,0,a,
4,0,0,0,0,b,
5,0,0,0,0,c,
6,0,0,0,0,d,
7,0,0,0,0,e,
8,0,0,0,0,f,
9,0,0,0,0,g,
10,0,0,0,0,h,
11,0,0,0,0,i,
12,0,0,0,0,j,
13,0,0,0,0,k,
14,0,0,0,0,l,
15,0,0,0,0,m,
16,0,0,0,0,n,
17,0,0,0,0,o,
18,0,0,0,0,p,
19,0,0,0,0,q,
20,0,0,0,0,r,
21,0,0,0,0,s,
22,0,0,0,0,t,
23,0,0,0,0,u,
24,0,0,0,0,v,
25,0,0,0,0,w,
26,0,0,0,0,x,
27,0,0,0,0,y,
28,0,0,0,0,z,
29,0,0,0,0,aa,
30,0,0,0,0,ab,
31,0,0,0,0,ac,
32,0,0,0,0,ad,
33,0,0,0,0,ae,
34,0,0,0,0,af,
35,0,0,0,0,ag,
36,0,0,0,0,ah,
37,0,0,0,0,ai,
38,0,0,0,0,aj,
39,0,0,0,0,ak,
40,0,0,0,0,al,
41,0,0,0,0,am,
42,0,0,0,0,an,
43,0,0,0,0,ao,
44,0,0,0,0,ap,
45,0,0,0,0,aq,
46,0,0,0,0,ar,
47,0,0,0,0,as,
48,0,0,0,0,at,
49,0,0,0,0,au,
50,0,0,0,0,av,
51,0,0,0,0,aw,
52,0,0,0,0,ax,
53,0,0,0,0,ay,
54,0,0,0,0,az,
55,0,0,0,0,ba,
56,0,0,0,0,bb,
57,0,0,0,0,bc,
58,0,0,0,0,bd,
59,0,0,0,0,be,
60,0,0,0,0,bf,
61,0,0,0,0,bg,
62,0,0,0,0,bh,
63,0,0,0,0,bi,
64,0,0,0,0,bj,
65,0,0,0,0,bk,
66,0,0,0,0,bl,
67,0,0,0,0,bm,
68,0,0,0,0,bn,
69,0,0,0,0,bo,
70,0,0,0,0,bp,
71,0,0,0,0,bq,
72,0,0,0,0,br,
73,0,0,0,0,bs,
74,0,0,0,0,bt,
75,0,0,0,0,bu,
76,0,0,0,0,bv,
77,0,0,0,0,bw,
78,0,0,0,0,bx,
79,0,0,0,0,by,
80,0,0,0,0,bz,
81,0,0,0,0,ca,
82,0,0,0,0,cb,
83,0,0,0,0,cc,
84,0,0,0,0,cd,
85,0,0,0,0,ce,
86,0,0,0,0,cf,
87,0,0,0,0,cg,
88,0,0,0,0,ch,
89,0,0,0,0,ci,
90,0,0,0,0,cj,
91,0,0,0,0,ck,
92,0,0,0,0,cl,
93,0,0,0,0,cm,
94,0,0,0,0,cn,
95,0,0,0,0,co,
96,0,0,0,0,cp,
97,0,0,0,0,cq,
98,0,0,0,0,cr,
99,0,0,0,0,cs,
100,0,0,0,0,ct,
101,0,0,0,0,cu,
102,0,0,0,0,cv,
103,0,0,0,0,cw,
104,0,0,0,0,cx,
105,0,0,0,0,cy,
106,0,0,0,0,cz,
107,0,0,0,0,da,
108,0,0,0,0,db,
109,0,0,0,0,dc,
110,0,0,0,0,dd,
111,0,0,0,0,de,
112,0,0,0,0,df,
113,0,0,0,0,dg,
114,0,0,0,0,dh,
115,0,0,0,0,di,
116,0,0,0,0,dj,
117,0,0,0,0,dk,
118,0,0,0,0,dl,
119,0,0,0,0,dm,
120,0,0,0,0,dn,
121,0,0,0,0,do,
122,0,0,0,0,dp,
123,0,0,0,0,dq,
124,0,0,0,0,dr,
125,0,0,0,0,ds,
126,0,0,0,0,dt,
127,0,0,0,0,du,
128,0,0,0,0,dv,
129,0,0,0,0,dw,
130,0,0,0,0,dx,
131,0,0,0,0,dy,
132,0,0,0,0,dz,
133,0,0,0,0,ea,
134,0,0,0,0,eb,
135,0,0,0,0,ec,
136,0,0,0,0,ed,
137,0,0,0,0,ee,
138,0,0,0,0,ef,
139,0,0,0,0,eg,
140,0,0,0,0,eh,
141,0,0,0,0,ei,
142,0,0,0,0,ej,
143,0,0,0,0,ek,
144,0,0,0,0,el,
145,0,0,0,0,em,
146,0,0,0,0,en,
147,0,0,0,0,eo,
148,0,0,0,0,ep,
149,0,0,0,0,eq,
150,0,0,0,0,er,
